   2 보호	하는
   2 보호	가
   2 보이네요	기자
   2 보이	고
   2 보시다시피	마스크
   2 보드	컨트롤
   2 보도	를
   2 보다는	추가
   2 보는	것
   2 법원	영유
   2 벌입니다	영국
   2 백신	패스
   2 백신	을
   2 백신	미접
   2 백신	거부
   2 백	패스
   2 방역	패스
   2 방역	수칙
   2 방역	규제
   2 밝힌	사람
   2 발생	하고
   2 반발	에
   2 반대	합니다
   2 밖에	오르지
   2 박았습니다	KBS
   2 바이러스	도
   2 바이든	행정부
   2 밀려	철회
   2 미접	종
   2 미국	에
   2 못	박았습니다
   2 몰린	축구
   2 모여	백신
   2 모습	볼
   2 모든	방역
   2 명대	이고
   2 명	최
   2 명	정부
   2 명	을
   2 명	위중
   2 명	수준
   2 명	넘게
   2 명	가량
   2 먹기	위해
   2 머물러	있는데요
   2 맞지	않을
   2 많이	보이네요
   2 만	아니라
   2 마스크	라도
   2 리포트	런던
   2 리차드	강압
   2 리	셰필드
   2 를	해제
   2 를	포기
   2 를	통해
   2 를	줄이거나
   2 를	주장
   2 를	이
   2 를	안
   2 를	쓰지
   2 를	쓰라고
   2 를	쓰고
   2 를	써야
   2 를	벌입니다
   2 를	밝힌
   2 를	더
   2 률	을
   2 률	도
   2 로	시민
   2 로	도
   2 로	가야
   2 로	4
   2 런던	은
   2 런던	에서
   2 런던	상황
   2 라도	쓰자
   2 또한	마스크
   2 따라서	영국
   2 등	을
   2 등	수치
   2 들	보호
   2 들	또한
   2 들	도
   2 된	상태
   2 되지	않도록
   2 되고	있는데도
   2 돼	있습니다
   2 동영상	시작
   2 동영상	고정
   2 동안	약
   2 도입	은
   2 도심	인가요
   2 도	확대
   2 도	하지
   2 도	코로나
   2 도	보호
   2 도	높은
   2 도	60
   2 더	중요하다고
   2 더	자주
   2 더	보기
   2 댓글	BUTTON
   2 대해	서는
   2 대학	교수
   2 대표	적
   2 대치	까지
   2 대책	이
   2 대상	으로
   2 대비	해
   2 대비	로
   2 대부분	이
   2 대다수	는
   2 대	에
   2 당초	백신
   2 당시	접종
   2 달	째인
   2 달	넘게
   2 단축	10일
   2 단	마스크
   2 다음	기사
   2 다시	마스크
   2 다시	강화할
   2 늘어도	영국
   2 늘리거나	아이
   2 는	확
   2 는	하루
   2 는	지난달
   2 는	지금
   2 는	위드
   2 는	백신
   2 는	마스크
   2 는	런던
   2 는	계속
   2 는	겨울철
   2 는	66
   2 뉴스타임	o
   2 뉴스	BUTTON
   2 뉴스	7
   2 뉴	노멀
   2 누구	도
   2 높이는	등
   2 높은	수치
   2 노멀	로
   2 네	저
   2 넘은	점심
   2 넘어	미국
   2 넘는	인파
   2 넘게	발생
   2 넘게	머물러
   2 넉	달
