   1 5101	7333
   1 5	UUM
   1 5	Off
   1 5	KPT
   1 4Z4C	X
   1 40200	Shah
   1 4	Penutupan
   1 4	Luruan
   1 3	RFID
   1 3	Polis
   1 2022	____________________
   1 2021	Perdana
   1 2018	All
   1 2	Mengapa
   1 2	Laluan
   1 16	Oktober
   1 15	5
   1 15	40200
   1 1	Terengganu
   1 1	Meminjam
   1 1	Jalan
   1 02	Januari
