   1 Shutterstock	Laura
   1 Shutterstock	I
   1 ShowMoreShow	More
   1 She	went
   1 She	sarcastically
   1 September	will
   1 SecureDrop	Work
   1 Search	UK
   1 Science	Global
   1 Rugby	union
   1 Reuse	this
   1 Recipes	Love
   1 Read	more
   1 Privacy	policy
   1 Podcasts	Pictures
   1 Pictures	Newsletters
   1 Opinion	videos
   1 Opinion	The
   1 One	a
   1 On	Wednesday
   1 Observer	Guardian
   1 Obituaries	Opinion
   1 Notes	email
   1 Newsletters	Today
   1 Newsletters	Advertise
   1 News	World
   1 News	Media
   1 NHS	when
   1 NHS	to
   1 NHS	and
   1 Musician	who
   1 Music	Vogue
   1 Music	This
   1 Music	2CFashion
   1 More	News
   1 Money	Make
   1 Men	Family
   1 Members	of
   1 Media	Limited
   1 Maya	Arulpragasam
   1 May	2018
   1 March	MIA
   1 Make	a
   1 MIA	tweeted
   1 MIA	s
   1 MIA	pictured
   1 MIA	has
   1 MIA	claims
   1 MIA	accused
   1 MIA	Health
   1 MIA	Beneath
   1 Love	sex
   1 LinkedIn	Twitter
   1 Limited	or
   1 Lifestyle	ShowMoreShow
   1 Lifestyle	IFRAME
   1 Lifestyle	Fashion
   1 Letters	Sport
   1 Laura	Snapes
   1 Last	month
   1 Last	modified
   1 Lankan	musician
   1 Lankan	government
   1 Lanka	news
   1 Lanka	2CWorld
   1 Lack	of
   1 Just	doing
   1 July	September
   1 Jul	2020
   1 Jeremy	Corbyn
   1 It	just
   1 It	didn
   1 Instagram	page
   1 Instagram	account
   1 Instagram	MIA
   1 Instagram	LinkedIn
   1 Inside	the
   1 IFRAME	https
   1 I	want
   1 I	think
   1 I	prefer
   1 I	don
   1 I	choose
   1 Home	garden
   1 Help	All
   1 Health	fitness
   1 Health	Coronavirus
   1 Guardian	view
   1 Guardian	has
   1 Guardian	app
   1 Guardian	Weekly
   1 Guardian	The
   1 Guardian	News
   1 Guardian	British
   1 Guardian	Back
   1 Golf	US
   1 Global	development
   1 Football	Tech
   1 Football	Cricket
   1 Food	Recipes
   1 Fashion	Food
   1 Family	Travel
   1 Facebook	YouTube
   1 F1	Golf
   1 Environment	Science
   1 Enninful	had
   1 Edward	Enninful
   1 Early	in
   1 Digital	newspaper
   1 Cycling	F1
   1 Culture	Books
   1 Crosswords	Search
   1 Cricket	Rugby
   1 Cov	Members
   1 Coronavirus	Vaccines
   1 Coronavirus	Climate
   1 Corbyn	fight
   1 Cookie	policy
   1 Contact	us
   1 Considering	our
   1 Complaints	corrections
   1 Columnists	Cartoons
   1 Climate	crisis
   1 Cartoons	Opinion
   1 Business	Obituaries
   1 Btw	how
   1 British	Sri
   1 Boris	and
   1 Beneath	the
   1 BST	MIA
   1 BST	Last
   1 Australian	edition
   1 August	is
   1 At	the
   1 Arulpragasam	said
   1 April	she
   1 Apr	2020
   1 Anti	vaxer
   1 Anti	this
   1 All	writers
   1 All	topics
   1 All	the
   1 All	rights
   1 All	of
   1 Advertisement	International
   1 Advertise	with
   1 A	spokesperson
   1 6035250	cv
   1 5G	to
   1 5G	masts
   1 5G	can
   1 44	year
   1 38	BST
   1 37	BST
   1 2CWorld	news
   1 2CVaccines	and
   1 2CV	ogue
   1 2CUS	news
   1 2CUK	news
   1 2CSri	Lanka
   1 2CMIA	2CHealth
   1 2CLife	and
   1 2CHealth	2CCoronavirus
   1 2CFashion	2CV
   1 2CCulture	2CLife
   1 2CCoronavirus	2CVaccines
   1 22	Apr
   1 2021	Guardian
   1 2020	17
   1 2020	16
   1 2018	I
   1 2	c2
   1 2	a
   1 2	0
   1 17	38
   1 16	37
   1 10	a
   1 1	cs_ucfr
   1 1	Jul
   1 0	comscorekw
   1 0	cj
